id,rating,user_id,product_id
1,3,135,4
2,5,135,5
3,3,135,30
4,4,88031,4
5,2,88031,5
6,3,88031,30
7,4,88031,32
8,1,88031,59
9,1,88031,62
10,1,88031,64
11,2,88031,67
12,3,88031,74
13,3,88031,81
14,4,88031,84
15,4,88031,87
16,3,88031,97
17,4,88031,111
18,5,88031,120
19,4,88031,126
20,4,88031,128
21,5,88031,137
22,4,88031,144
23,4,88031,146
24,3,88031,154
25,2,88031,166
26,2,88031,180
27,3,88031,182
28,4,88031,188
29,3,88031,196
30,2,88031,219
31,3,88031,229
32,2,88031,241
33,1,88031,249
34,4,88031,252
35,5,88031,255
36,2,88031,276
37,4,88031,294
38,2,88031,295
39,4,88031,298
40,2,88031,264
41,4,40665,4
42,4,40665,5
43,3,40665,30
44,4,40665,32
45,2,40665,59
46,3,40665,62
47,2,40665,64
48,2,40665,67
49,1,40665,74
50,1,40665,81
51,3,40665,84
52,2,40665,87
53,2,40665,97
54,2,40665,111
55,3,40665,120
56,4,40665,126
57,4,40665,128
58,4,40665,137
59,3,40665,144
60,1,40665,146
61,2,40665,154
62,2,40665,166
63,3,40665,180
64,3,40665,182
65,2,40665,188
66,2,40665,196
67,1,40665,219
68,2,40665,229
69,2,40665,241
70,1,40665,249
71,1,40665,252
72,2,40665,255
73,1,40665,264
74,1,40665,276
75,2,40665,294
76,1,40665,295
77,3,40665,298
78,5,60584,4
79,5,60584,5
80,4,60584,30
81,4,60584,32
82,2,60584,59
83,3,60584,62
84,2,60584,64
85,2,60584,67
86,2,60584,74
87,2,60584,81
88,5,60584,84
89,4,60584,87
90,4,60584,97
91,4,60584,111
92,2,60584,120
93,2,60584,126
94,5,60584,128
95,2,60584,137
96,2,60584,144
97,1,60584,146
98,4,60584,154
99,2,60584,166
100,2,60584,180
101,3,60584,182
102,4,60584,188
103,4,60584,196
104,2,60584,219
105,2,60584,229
106,1,60584,241
107,1,60584,249
108,1,60584,252
109,1,60584,255
110,4,60584,264
111,3,60584,276
112,3,60584,294
113,2,60584,295
114,2,60584,298
115,5,71503,32
116,4,71503,59
117,4,71503,62
118,4,71503,64
119,5,71503,67
120,5,71503,74
121,3,71503,81
122,3,71503,84
123,4,71503,87
124,5,71503,97
125,4,71503,111
126,4,71503,120
127,5,71503,30
128,2,71503,5
129,2,71503,4
130,4,71503,128
131,5,71503,137
132,3,71503,144
133,1,71503,146
134,1,71503,154
135,3,71503,166
136,3,71503,180
137,4,71503,182
138,3,71503,188
139,4,71503,196
140,4,71503,219
141,1,71503,229
142,4,71503,241
143,2,71503,249
144,1,71503,252
145,3,71503,255
146,1,71503,264
147,1,71503,276
148,4,71503,294
149,2,71503,295
150,3,71503,298
151,4,71503,126
152,3,95683,4
153,1,95683,5
154,4,95683,30
155,4,95683,32
156,4,95683,59
157,3,95683,62
158,3,95683,64
159,4,95683,67
160,5,95683,74
161,3,95683,81
162,3,95683,84
163,5,95683,87
164,4,95683,97
165,4,95683,111
166,4,95683,120
167,4,95683,126
168,3,95683,128
169,5,95683,137
170,4,95683,144
171,1,95683,146
172,2,95683,154
173,3,95683,166
174,3,95683,180
175,4,95683,182
176,3,95683,188
177,4,95683,196
178,3,95683,219
179,2,95683,229
180,3,95683,241
181,3,95683,249
182,4,95683,252
183,4,95683,255
184,2,95683,264
185,2,95683,276
186,4,95683,294
187,2,95683,295
188,3,95683,298
189,2,98805,4
190,3,98805,5
191,3,98805,30
192,3,98805,32
193,4,98805,59
194,2,98805,62
195,4,98805,64
196,3,98805,67
197,3,98805,74
198,4,98805,81
199,4,98805,84
200,2,98805,87
201,2,98805,97
202,2,98805,111
203,3,98805,120
204,3,98805,126
205,3,98805,128
206,1,98805,137
207,1,98805,144
208,1,98805,146
209,3,98805,154
210,3,98805,166
211,3,98805,180
212,3,98805,182
213,2,98805,188
214,2,98805,196
215,2,98805,219
216,4,98805,229
217,1,98805,241
218,1,98805,249
219,2,98805,252
220,2,98805,255
221,1,98805,264
222,3,98805,276
223,3,98805,294
224,1,98805,295
225,2,98805,298
226,3,50847,4
227,1,50847,5
228,4,50847,30
229,3,50847,32
230,3,50847,59
231,2,50847,62
232,3,50847,64
233,4,50847,67
234,5,50847,74
235,4,50847,81
236,3,50847,84
237,4,50847,87
238,4,50847,97
239,4,50847,111
240,5,50847,120
241,4,50847,126
242,3,50847,128
243,5,50847,137
244,3,50847,144
245,1,50847,146
246,1,50847,154
247,3,50847,166
248,3,50847,180
249,4,50847,182
250,2,50847,188
251,4,50847,196
252,3,50847,219
253,2,50847,229
254,3,50847,241
255,2,50847,249
256,4,50847,252
257,4,50847,255
258,2,50847,264
259,3,50847,276
260,4,50847,294
261,2,50847,295
262,3,50847,298
263,1,18768,4
264,1,18768,5
265,2,18768,30
266,2,18768,32
267,5,18768,59
268,1,18768,62
269,4,18768,67
270,1,18768,74
271,4,18768,81
272,3,18768,84
273,2,18768,87
274,1,18768,97
275,4,18768,111
276,1,18768,120
277,3,18768,126
278,1,18768,128
279,1,18768,137
280,1,18768,144
281,1,18768,146
282,1,18768,154
283,3,18768,166
284,3,18768,180
285,4,18768,182
286,5,18768,188
287,5,18768,196
288,1,18768,219
289,1,18768,229
290,1,18768,241
291,1,18768,249
292,3,18768,252
293,1,18768,255
294,1,18768,264
295,1,18768,276
296,1,18768,294
297,1,18768,295
298,1,18768,298
299,4,18768,64
300,1,85211,4
301,1,85211,5
302,1,85211,30
303,1,85211,32
304,5,85211,59
305,3,85211,62
306,5,85211,64
307,2,85211,67
308,1,85211,74
309,5,85211,81
310,1,85211,87
311,1,85211,97
312,1,85211,111
313,1,85211,120
314,1,85211,126
315,1,85211,128
316,3,85211,137
317,1,85211,144
318,2,85211,146
319,1,85211,154
320,5,85211,166
321,1,85211,180
322,1,85211,182
323,1,85211,188
324,3,85211,196
325,1,85211,219
326,5,85211,229
327,3,85211,241
328,3,85211,249
329,5,85211,252
330,5,85211,255
331,1,85211,264
332,2,85211,276
333,1,85211,294
334,1,85211,295
335,1,85211,298
336,3,85211,84
337,4,99436,4
338,4,99436,5
339,4,99436,30
340,3,99436,32
341,4,99436,59
342,3,99436,62
343,2,99436,64
344,2,99436,67
345,3,99436,74
346,2,99436,81
347,5,99436,84
348,5,99436,87
349,5,99436,97
350,5,99436,111
351,5,99436,120
352,3,99436,126
353,3,99436,128
354,2,99436,137
355,2,99436,144
356,4,99436,146
357,4,99436,154
358,2,99436,166
359,2,99436,180
360,5,99436,182
361,5,99436,188
362,3,99436,196
363,4,99436,219
364,2,99436,229
365,2,99436,241
366,1,99436,249
367,5,99436,252
368,5,99436,255
369,4,99436,264
370,4,99436,276
371,2,99436,294
372,4,99436,295
373,4,99436,298
