user_id,product_id,rating
10492,4,5
10492,5,5
10492,30,3
10492,32,2
10492,59,2
10492,62,3
10492,64,1
10492,67,3
10492,74,3
10492,81,1
10492,84,5
10492,87,2
10492,97,3
10492,111,5
10492,120,2
10492,126,2
10492,128,5
10492,137,2
10492,144,3
10492,146,4
10492,154,1
10492,166,3
10492,180,3
10492,182,2
10492,188,1
10492,196,1
10492,219,1
10492,229,1
10492,241,1
10492,249,1
10492,252,1
10492,255,1
10492,264,2
10492,276,2
10492,294,1
10492,295,1
10492,298,1
10701,4,4
10701,5,4
10701,30,4
10701,32,3
10701,59,4
10701,62,3
10701,64,4
10701,67,2
10701,74,2
10701,81,5
10701,84,4
10701,87,2
10701,97,2
10701,111,2
10701,120,3
10701,126,5
10701,128,4
10701,137,5
10701,144,4
10701,146,2
10701,154,2
10701,166,3
10701,180,4
10701,182,5
10701,188,3
10701,196,3
10701,219,2
10701,229,3
10701,241,3
10701,249,2
10701,252,4
10701,255,4
10701,264,3
10701,276,3
10701,294,4
10701,295,1
10701,298,5
10713,4,5
10713,5,5
10713,30,5
10713,32,1
10713,59,1
10713,62,5
10713,64,2
10713,67,1
10713,74,5
10713,81,5
10713,84,5
10713,87,5
10713,97,5
10713,111,5
10713,120,5
10713,126,5
10713,128,3
10713,137,2
10713,144,4
10713,146,1
10713,154,3
10713,166,3
10713,180,1
10713,182,5
10713,188,5
10713,196,5
10713,219,1
10713,229,1
10713,241,4
10713,249,5
10713,252,5
10713,255,4
10713,264,1
10713,276,1
10713,294,1
10713,295,2
10713,298,2
11002,4,1
11002,5,1
11002,30,1
11002,32,3
11002,59,5
11002,62,1
11002,64,5
11002,67,1
11002,74,1
11002,81,5
11002,84,5
11002,87,1
11002,97,2
11002,111,1
11002,120,1
11002,126,2
11002,128,1
11002,137,4
11002,144,3
11002,146,1
11002,154,3
11002,166,5
11002,180,1
11002,182,2
11002,188,5
11002,196,5
11002,219,3
11002,229,5
11002,241,5
11002,249,5
11002,252,5
11002,255,5
11002,264,3
11002,276,4
11002,294,1
11002,295,1
11002,298,1
11838,4,3
11838,5,2
11838,30,4
11838,32,5
11838,59,1
11838,62,2
11838,64,1
11838,67,2
11838,74,3
11838,81,1
11838,84,3
11838,87,3
11838,97,3
11838,111,4
11838,120,5
11838,126,4
11838,128,5
11838,137,4
11838,144,4
11838,146,4
11838,154,5
11838,166,2
11838,180,2
11838,182,2
11838,188,3
11838,196,2
11838,219,1
11838,229,2
11838,241,1
11838,249,1
11838,252,1
11838,255,3
11838,264,3
11838,276,4
11838,294,2
11838,295,1
11838,298,5
12408,4,4
12408,5,4
12408,30,4
12408,32,4
12408,59,4
12408,62,4
12408,64,1
12408,67,3
12408,74,3
12408,81,4
12408,84,4
12408,87,4
12408,97,4
12408,111,4
12408,120,4
12408,126,4
12408,128,3
12408,137,4
12408,144,4
12408,146,1
12408,154,3
12408,166,4
12408,180,4
12408,182,5
12408,188,4
12408,196,2
12408,219,3
12408,229,4
12408,241,3
12408,249,1
12408,252,4
12408,255,4
12408,264,2
12408,276,4
12408,294,4
12408,295,2
12408,298,4
13233,4,5
13233,5,5
13233,30,5
13233,32,5
13233,59,4
13233,62,1
13233,64,4
13233,67,4
13233,74,1
13233,81,4
13233,84,5
13233,87,1
13233,97,3
13233,111,1
13233,120,1
13233,126,4
13233,128,5
13233,137,3
13233,144,5
13233,146,1
13233,154,1
13233,166,5
13233,180,1
13233,182,1
13233,188,1
13233,196,1
13233,219,1
13233,229,2
13233,241,2
13233,249,1
13233,252,4
13233,255,4
13233,264,4
13233,276,4
13233,294,5
13233,295,4
13233,298,1
13264,4,2
13264,5,3
13264,30,2
13264,32,3
13264,59,2
13264,62,2
13264,64,2
13264,67,1
13264,74,1
13264,81,1
13264,84,4
13264,87,1
13264,97,2
13264,111,1
13264,120,2
13264,126,1
13264,128,1
13264,137,3
13264,144,3
13264,146,1
13264,154,3
13264,166,3
13264,180,2
13264,182,2
13264,188,3
13264,196,3
13264,219,3
13264,229,3
13264,241,3
13264,249,1
13264,252,1
13264,255,3
13264,264,4
13264,276,4
13264,294,1
13264,295,1
13264,298,1
13384,4,1
13384,5,2
13384,30,1
13384,32,2
13384,59,5
13384,62,2
13384,64,5
13384,67,4
13384,74,4
13384,81,5
13384,84,3
13384,87,2
13384,97,2
13384,111,4
13384,120,5
13384,126,2
13384,128,2
13384,137,2
13384,144,4
13384,146,4
13384,154,2
13384,166,4
13384,180,3
13384,182,5
13384,188,2
13384,196,2
13384,219,2
13384,229,5
13384,241,5
13384,249,1
13384,252,5
13384,255,5
13384,264,1
13384,276,4
13384,294,2
13384,295,1
13384,298,3
13485,4,5
13485,5,5
13485,30,4
13485,32,5
13485,59,2
13485,62,1
13485,64,2
13485,67,4
13485,74,4
13485,81,2
13485,84,4
13485,87,4
13485,97,5
13485,111,4
13485,120,5
13485,126,5
13485,128,5
13485,137,3
13485,144,4
13485,146,4
13485,154,5
13485,166,4
13485,180,4
13485,182,5
13485,188,3
13485,196,4
13485,219,3
13485,229,3
13485,241,2
13485,249,2
13485,252,3
13485,255,3
13485,264,4
13485,276,4
13485,294,5
13485,295,3
13485,298,4
13629,4,4
13629,5,3
13629,30,3
13629,32,5
13629,59,5
13629,62,1
13629,64,2
13629,67,3
13629,74,1
13629,81,3
13629,84,5
13629,87,5
13629,97,5
13629,111,3
13629,120,1
13629,126,2
13629,128,4
13629,137,4
13629,144,3
13629,146,2
13629,154,3
13629,166,4
13629,180,2
13629,182,2
13629,188,2
13629,196,3
13629,219,3
13629,229,4
13629,241,3
13629,249,2
13629,252,5
13629,255,5
13629,264,3
13629,276,3
13629,294,2
13629,295,1
13629,298,3
13829,4,2
13829,5,1
13829,30,3
13829,32,4
13829,59,5
13829,62,3
13829,64,3
13829,67,3
13829,74,3
13829,81,3
13829,84,5
13829,87,5
13829,97,5
13829,111,4
13829,120,4
13829,126,4
13829,128,4
13829,137,5
13829,144,5
13829,146,1
13829,154,4
13829,166,5
13829,180,5
13829,182,3
13829,188,5
13829,196,5
13829,219,5
13829,229,5
13829,241,4
13829,249,5
13829,252,5
13829,255,5
13829,264,4
13829,276,2
13829,294,5
13829,295,2
13829,298,2
13916,4,3
13916,5,4
13916,30,4
13916,32,5
13916,59,4
13916,62,2
13916,64,1
13916,67,5
13916,74,4
13916,81,2
13916,84,5
13916,87,1
13916,97,1
13916,111,4
13916,120,4
13916,126,4
13916,128,4
13916,137,5
13916,144,3
13916,146,5
13916,154,2
13916,166,2
13916,180,3
13916,182,3
13916,188,1
13916,196,3
13916,219,1
13916,229,4
13916,241,4
13916,249,1
13916,252,3
13916,255,3
13916,264,4
13916,276,4
13916,294,3
13916,295,3
13916,298,1
13993,4,5
13993,5,5
13993,30,5
13993,32,5
13993,59,2
13993,62,2
13993,64,2
13993,67,2
13993,74,2
13993,81,2
13993,84,4
