user_id,product_id
135,4
135,5
135,30
51455,4
51455,5
51455,30
51455,32
51455,59
51455,62
51455,64
51455,67
51455,74
51455,81
51455,84
51455,87
51455,97
51455,111
51455,120
51455,126
51455,128
51455,137
51455,144
51455,146
51455,154
51455,166
51455,180
51455,182
51455,188
51455,196
51455,219
51455,229
51455,241
51455,249
51455,252
51455,255
51455,264
51455,276
51455,294
51455,295
51455,298
68618,4
68618,5
68618,30
68618,32
68618,59
68618,62
68618,64
68618,67
68618,74
68618,81
68618,84
68618,87
68618,97
68618,111
68618,120
68618,126
68618,128
68618,137
68618,144
68618,146
68618,154
68618,166
68618,180
68618,182
68618,188
68618,196
68618,219
68618,229
68618,241
68618,249
68618,252
68618,255
68618,264
68618,276
68618,294
68618,295
68618,298
45055,4
45055,5
45055,30
45055,32
45055,59
45055,62
45055,64
45055,67
45055,74
45055,81
45055,84
45055,87
45055,97
45055,111
45055,120
45055,126
45055,128
45055,137
45055,144
45055,146
45055,154
45055,166
45055,180
45055,182
45055,188
45055,196
45055,219
45055,229
45055,241
45055,249
45055,252
45055,255
45055,264
45055,276
45055,294
45055,295
45055,298
41367,4
41367,5
41367,30
41367,32
41367,59
41367,62
41367,64
41367,67
41367,74
41367,81
41367,84
41367,87
41367,97
41367,111
41367,120
41367,126
41367,128
41367,137
41367,144
41367,146
41367,154
41367,166
41367,180
41367,182
41367,188
41367,196
41367,219
41367,229
41367,241
41367,249
41367,252
41367,255
41367,264
41367,276
41367,294
41367,295
41367,298
82725,4
82725,5
82725,30
82725,32
82725,59
82725,62
82725,64
82725,67
82725,74
82725,81
82725,84
82725,87
82725,97
82725,111
82725,120
82725,126
82725,128
82725,137
82725,144
82725,146
82725,154
82725,166
82725,180
82725,182
82725,188
82725,196
82725,219
82725,229
82725,241
82725,249
82725,252
82725,255
82725,264
82725,276
82725,294
82725,295
82725,298
83768,4
83768,5
83768,30
83768,32
83768,59
83768,62
83768,64
83768,67
83768,74
83768,81
83768,84
83768,87
83768,97
83768,111
83768,120
83768,126
83768,128
83768,137
83768,144
83768,146
83768,154
83768,166
83768,180
