condition_id;user_id;phase;interaction;rank;product_id;product_name;nutri_score;nutri_score_numeric;mean_nutri_top5
1;5942d73df8bfc00001985c3c;after;1;3;345;Smoked turkey fried rice plate with peas;C;3;3.0
1;5942d73df8bfc00001985c3c;after;1;4;253;Zesty Fried chicken with green beans & garlic butter noodles;C;3;3.0
1;5942d73df8bfc00001985c3c;after;1;5;247;Chicken in soy sauce over creamy pasta;C;3;3.0
1;5942d73df8bfc00001985c3c;before;1;1;245;Duck with butter rice, buttered corn, sweet corn & peas;C;3;3.0
1;5942d73df8bfc00001985c3c;before;1;2;307;Creamy Fried chicken over buttery mashed potatoes;C;3;3.0
1;5942d73df8bfc00001985c3c;before;1;3;345;Smoked turkey fried rice plate with peas;C;3;3.0
1;5942d73df8bfc00001985c3c;before;1;4;253;Zesty Fried chicken with green beans & garlic butter noodles;C;3;3.0
1;5942d73df8bfc00001985c3c;before;1;5;247;Chicken in soy sauce over creamy pasta;C;3;3.0
1;5942d73df8bfc00001985c3c;before;2;1;280;Fried chicken with loaded fries, fried onions & cauliflower;C;3;2.6
1;5942d73df8bfc00001985c3c;before;2;2;251;Mediterranean chicken with butter rice, squash, eggplant & tomatoes;C;3;2.6
1;5942d73df8bfc00001985c3c;before;2;3;279;Duck brown rice plate with mushrooms;C;3;2.6
1;5942d73df8bfc00001985c3c;before;2;4;311;Smoked turkey and asparagus loaded fries mix;C;3;2.6
1;5942d73df8bfc00001985c3c;before;2;5;580;Buttery duck bowl with vegetables;E;1;2.6
1;5942d73df8bfc00001985c3c;before;3;1;303;Duck with potatoes and zucchini;C;3;2.4
1;5942d73df8bfc00001985c3c;before;3;2;341;Buttery Turkey with bell peppers & bulgur;C;3;2.4
1;5942d73df8bfc00001985c3c;before;3;3;390;Roasted Duck bowl with fried peppers;D;2;2.4
1;5942d73df8bfc00001985c3c;before;3;4;393;Buttery Fried chicken with fried peppers & mac and cheese;D;2;2.4
1;5942d73df8bfc00001985c3c;before;3;5;417;Mediterranean Turkey over cheesy potatoes;D;2;2.4
1;594b80f264c25300013deb95;after;1;1;264;Beef with fried rice and cauliflower;C;3;3.0
1;594b80f264c25300013deb95;after;1;2;348;Sausage over cheesy potatoes;C;3;3.0
1;594b80f264c25300013deb95;after;1;3;338;Steak strips with garlic butter noodles, asparagus, bell peppers & peas;C;3;3.0
1;594b80f264c25300013deb95;after;1;4;273;Steak strips with bulgur, tomatoes & sweet corn;C;3;3.0
1;594b80f264c25300013deb95;after;1;5;297;Crispy Meatballs bowl with buttered corn;C;3;3.0
1;594b80f264c25300013deb95;before;1;1;264;Beef with fried rice and cauliflower;C;3;3.0
1;594b80f264c25300013deb95;before;1;2;348;Sausage over cheesy potatoes;C;3;3.0
1;594b80f264c25300013deb95;before;1;3;338;Steak strips with garlic butter noodles, asparagus, bell peppers & peas;C;3;3.0
1;594b80f264c25300013deb95;before;1;4;273;Steak strips with bulgur, tomatoes & sweet corn;C;3;3.0
1;594b80f264c25300013deb95;before;1;5;297;Crispy Meatballs bowl with buttered corn;C;3;3.0
1;594b80f264c25300013deb95;before;2;1;356;Herb Veal over polenta;C;3;3.0
1;594b80f264c25300013deb95;before;2;2;332;Meatballs and eggplant polenta mix;C;3;3.0
1;594b80f264c25300013deb95;before;2;3;343;Pork belly with wild rice, caramelized onions, peas & broccoli;C;3;3.0
1;594b80f264c25300013deb95;before;2;4;274;Tangy Pork belly over quinoa;C;3;3.0
1;594b80f264c25300013deb95;before;2;5;331;Crispy lamb with gnocchi, celery & cauliflower;C;3;3.0
1;594b80f264c25300013deb95;before;3;1;269;Creamy Steak strips with fried onions & garlic butter noodles;C;3;3.0
1;594b80f264c25300013deb95;before;3;2;241;Sausage bulgur plate with fried onions;C;3;3.0
1;594b80f264c25300013deb95;before;3;3;359;Pork with pasta and fried eggplant;C;3;3.0
1;594b80f264c25300013deb95;before;3;4;272;rispy sausage with wild rice, cauliflower & tomatoes;C;3;3.0
1;594b80f264c25300013deb95;before;3;5;296;Lamb and fried eggplant cheesy potatoes mix;C;3;3.0
1;59f8b44d07e3780001ccd7b5;after;1;1;324;Cheesy trout with quinoa, asparagus & broccoli;C;3;2.6
1;59f8b44d07e3780001ccd7b5;after;1;2;573;Crispy Trout bowl with squash;E;1;2.6
1;59f8b44d07e3780001ccd7b5;after;1;3;261;Zesty Salmon over quinoa;C;3;2.6
1;59f8b44d07e3780001ccd7b5;after;1;4;352;Tuna in four cheese sauce over pasta;C;3;2.6
1;59f8b44d07e3780001ccd7b5;after;1;5;287;Seared tuna with butter rice and cabbage;C;3;2.6
1;59f8b44d07e3780001ccd7b5;before;1;1;324;Cheesy trout with quinoa, asparagus & broccoli;C;3;2.6
1;59f8b44d07e3780001ccd7b5;before;1;2;573;Crispy Trout bowl with squash;E;1;2.6
1;59f8b44d07e3780001ccd7b5;before;1;3;261;Zesty Salmon over quinoa;C;3;2.6
1;59f8b44d07e3780001ccd7b5;before;1;4;352;Tuna in four cheese sauce over pasta;C;3;2.6
1;59f8b44d07e3780001ccd7b5;before;1;5;287;Seared tuna with butter rice and cabbage;C;3;2.6
1;59f8b44d07e3780001ccd7b5;before;2;1;278;Crispy Hake over garlic butter noodles;C;3;3.0
1;59f8b44d07e3780001ccd7b5;before;2;2;288;Mackerel and buttered corn creamy pasta mix;C;3;3.0
1;59f8b44d07e3780001ccd7b5;before;2;3;360;Cheesy mackerel with gnocchi, leeks & peas;C;3;3.0
1;59f8b44d07e3780001ccd7b5;before;2;4;329;Tuna with rice, cauliflower, kale & celery;C;3;3.0
1;59f8b44d07e3780001ccd7b5;before;2;5;319;Hake with gnocchi, tomatoes, fried eggplant & cauliflower;C;3;3.0
1;59f8b44d07e3780001ccd7b5;before;3;1;482;Mackerel with cheesy potatoes and sweet corn;E;1;2.6
1;59f8b44d07e3780001ccd7b5;before;3;2;248;Zesty Cod with caramelized onions & butter rice;C;3;2.6
1;59f8b44d07e3780001ccd7b5;before;3;3;355;Sesame Fried fish bowl with kale;C;3;2.6
1;59f8b44d07e3780001ccd7b5;before;3;4;315;Salmon and cauliflower creamy pasta mix;C;3;2.6
1;59f8b44d07e3780001ccd7b5;before;3;5;268;Mackerel with brown rice, roasted garlic & squash;C;3;2.6
1;5af6e439672ea800010d4e92;after;1;1;375;Duck and buttered corn mac and cheese mix;D;2;1.8
1;5af6e439672ea800010d4e92;after;1;2;552;Creamy chicken with butter rice & vegetables;E;1;1.8
1;5af6e439672ea800010d4e92;after;1;3;373;Duck with loaded fries and bell peppers;D;2;1.8
1;5af6e439672ea800010d4e92;after;1;4;589;Creamy smoked turkey bowl with cabbage;E;1;1.8
1;5af6e439672ea800010d4e92;after;1;5;337;Chicken and broccoli loaded fries mix;C;3;1.8
1;5af6e439672ea800010d4e92;before;1;1;375;Duck and buttered corn mac and cheese mix;D;2;1.8
1;5af6e439672ea800010d4e92;before;1;2;552;Creamy chicken with butter rice & vegetables;E;1;1.8
1;5af6e439672ea800010d4e92;before;1;3;373;Duck with loaded fries and bell peppers;D;2;1.8
1;5af6e439672ea800010d4e92;before;1;4;589;Creamy smoked turkey bowl with cabbage;E;1;1.8
1;5af6e439672ea800010d4e92;before;1;5;337;Chicken and broccoli loaded fries mix;C;3;1.8
1;5af6e439672ea800010d4e92;before;2;1;540;Duck in spicy mayo over fried rice;E;1;1.2
1;5af6e439672ea800010d4e92;before;2;2;580;Buttery duck bowl with vegetables;E;1;1.2
1;5af6e439672ea800010d4e92;before;2;3;401;Duck in cream sauce over cheesy potatoes;D;2;1.2
1;5af6e439672ea800010d4e92;before;2;4;585;Chicken bowl with fried rice, tomatoes, asparagus & fried peppers;E;1;1.2
1;5af6e439672ea800010d4e92;before;2;5;569;Smoked turkey in cheese sauce over garlic butter noodles;E;1;1.2
1;5af6e439672ea800010d4e92;before;3;1;546;Tangy Fried chicken with spinach & cheesy potatoes;E;1;2.0
1;5af6e439672ea800010d4e92;before;3;2;390;Roasted Duck bowl with fried peppers;D;2;2.0
1;5af6e439672ea800010d4e92;before;3;3;555;Turkey and buttered corn buttery mashed potatoes mix;E;1;2.0
1;5af6e439672ea800010d4e92;before;3;4;214;Duck in lemon herb sauce over bulgur;B;4;2.0
1;5af6e439672ea800010d4e92;before;3;5;417;Mediterranean Turkey over cheesy potatoes;D;2;2.0
1;5b2bd649ed66460001e86e39;after;1;1;458;Cheesy beef bowl ;D;2;2.2
1;5b2bd649ed66460001e86e39;after;1;2;382;Pork belly in bbq sauce over cheesy potatoes;D;2;2.2
1;5b2bd649ed66460001e86e39;after;1;3;264;Beef with fried rice and cauliflower;C;3;2.2
1;5b2bd649ed66460001e86e39;after;1;4;485;Bbq ribs with cheesy potatoes ;E;1;2.2
1;5b2bd649ed66460001e86e39;after;1;5;348;Sausage over cheesy potatoes;C;3;2.2
1;5b2bd649ed66460001e86e39;before;1;1;458;Cheesy beef bowl ;D;2;2.2
1;5b2bd649ed66460001e86e39;before;1;2;382;Pork belly in bbq sauce over cheesy potatoes;D;2;2.2
1;5b2bd649ed66460001e86e39;before;1;3;264;Beef with fried rice and cauliflower;C;3;2.2
1;5b2bd649ed66460001e86e39;before;1;4;485;Bbq ribs with cheesy potatoes ;E;1;2.2
1;5b2bd649ed66460001e86e39;before;1;5;348;Sausage over cheesy potatoes;C;3;2.2
1;5b2bd649ed66460001e86e39;before;2;1;450;Veal with butter rice, spinach & fried eggplant;D;2;1.8
1;5b2bd649ed66460001e86e39;before;2;2;403;Creamy veal with buttery mashed potatoes, celery, beetroot & mushrooms;D;2;1.8
1;5b2bd649ed66460001e86e39;before;2;3;466;Herb Roasted ham over buttery mashed potatoes;D;2;1.8
1;5b2bd649ed66460001e86e39;before;2;4;430;Sausage and asparagus fried rice mix;D;2;1.8
1;5b2bd649ed66460001e86e39;before;2;5;541;Beef and buttered corn butter rice mix;E;1;1.8
1;5b2bd649ed66460001e86e39;before;3;1;438;Veal with garlic butter noodles, cauliflower, & eggplant ;D;2;2.0
1;5b2bd649ed66460001e86e39;before;3;2;434;Herb Pork belly with creamed spinach & creamy pasta;D;2;2.0
1;5b2bd649ed66460001e86e39;before;3;3;424;Smoky Pork belly over creamy pasta;D;2;2.0
1;5b2bd649ed66460001e86e39;before;3;4;372;Lamb with butter rice, leeks, sweet corn & eggplant;D;2;2.0
1;5b2bd649ed66460001e86e39;before;3;5;413;Veal with mac and cheese and tomatoes;D;2;2.0
1;5b9d57e5737d030001ad2cbf;after;1;1;382;Pork belly in bbq sauce over cheesy potatoes;D;2;2.6
1;5b9d57e5737d030001ad2cbf;after;1;2;210;Smoky meatballs with bulgur, green beans & sweet corn;B;4;2.6
1;5b9d57e5737d030001ad2cbf;after;1;3;264;Beef with fried rice and cauliflower;C;3;2.6
1;5b9d57e5737d030001ad2cbf;after;1;4;383;Tangy Meatballs with buttered corn & fried rice;D;2;2.6
1;5b9d57e5737d030001ad2cbf;after;1;5;458;Cheesy beef bowl ;D;2;2.6
1;5b9d57e5737d030001ad2cbf;before;1;1;382;Pork belly in bbq sauce over cheesy potatoes;D;2;2.6
1;5b9d57e5737d030001ad2cbf;before;1;2;210;Smoky meatballs with bulgur, green beans & sweet corn;B;4;2.6
1;5b9d57e5737d030001ad2cbf;before;1;3;264;Beef with fried rice and cauliflower;C;3;2.6
1;5b9d57e5737d030001ad2cbf;before;1;4;383;Tangy Meatballs with buttered corn & fried rice;D;2;2.6
1;5b9d57e5737d030001ad2cbf;before;1;5;458;Cheesy beef bowl ;D;2;2.6
1;5b9d57e5737d030001ad2cbf;before;2;1;464;Crispy Beef over butter rice;D;2;3.0
1;5b9d57e5737d030001ad2cbf;before;2;2;450;Veal with butter rice, spinach & fried eggplant;D;2;3.0
1;5b9d57e5737d030001ad2cbf;before;2;3;541;Beef and buttered corn butter rice mix;E;1;3.0
1;5b9d57e5737d030001ad2cbf;before;2;4;69;Udon noodle bowl with roasted ham and vegetables;A;5;3.0
1;5b9d57e5737d030001ad2cbf;before;2;5;106;Steak strips with barley, asparagus, mushrooms & cabbage;A;5;3.0
1;5b9d57e5737d030001ad2cbf;before;3;1;372;Lamb with butter rice, leeks, sweet corn & eggplant;D;2;2.0
1;5b9d57e5737d030001ad2cbf;before;3;2;387;Roasted Veal bowl with caramelized onions;D;2;2.0
1;5b9d57e5737d030001ad2cbf;before;3;3;413;Veal with mac and cheese and tomatoes;D;2;2.0
1;5b9d57e5737d030001ad2cbf;before;3;4;449;Pork bowl with creamy pasta & vegetables;D;2;2.0
1;5b9d57e5737d030001ad2cbf;before;3;5;424;Smoky Pork belly over creamy pasta;D;2;2.0
1;5ba641d1168e5e0001e4275d;after;1;1;330;Tangy Pork belly over brown rice;C;3;3.0
1;5ba641d1168e5e0001e4275d;after;1;2;297;Crispy Meatballs bowl with buttered corn;C;3;3.0
1;5ba641d1168e5e0001e4275d;after;1;3;338;Steak strips with garlic butter noodles, asparagus, bell peppers & peas;C;3;3.0
1;5ba641d1168e5e0001e4275d;after;1;4;273;Steak strips with bulgur, tomatoes & sweet corn;C;3;3.0
1;5ba641d1168e5e0001e4275d;after;1;5;345;Smoked turkey fried rice plate with peas;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;1;1;330;Tangy Pork belly over brown rice;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;1;2;297;Crispy Meatballs bowl with buttered corn;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;1;3;338;Steak strips with garlic butter noodles, asparagus, bell peppers & peas;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;1;4;273;Steak strips with bulgur, tomatoes & sweet corn;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;1;5;345;Smoked turkey fried rice plate with peas;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;2;1;332;Meatballs and eggplant polenta mix;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;2;2;356;Herb Veal over polenta;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;2;3;343;Pork belly with wild rice, caramelized onions, peas & broccoli;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;2;4;311;Smoked turkey and asparagus loaded fries mix;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;2;5;279;Duck brown rice plate with mushrooms;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;3;1;272;rispy sausage with wild rice, cauliflower & tomatoes;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;3;2;255;Meatballs in pesto over buttery mashed potatoes;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;3;3;306;Roasted ham and cauliflower udon noodles mix;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;3;4;359;Pork with pasta and fried eggplant;C;3;3.0
1;5ba641d1168e5e0001e4275d;before;3;5;314;Veal with couscous, kale, cauliflower & tomatoes;C;3;3.0
1;5bb5ddb068558a000125ab50;after;1;1;245;Duck with butter rice, buttered corn, sweet corn & peas;C;3;3.0
1;5bb5ddb068558a000125ab50;after;1;2;294;Duck brown rice plate with bell peppers;C;3;3.0
1;5bb5ddb068558a000125ab50;after;1;3;247;Chicken in soy sauce over creamy pasta;C;3;3.0
1;5bb5ddb068558a000125ab50;after;1;4;337;Chicken and broccoli loaded fries mix;C;3;3.0
1;5bb5ddb068558a000125ab50;after;1;5;307;Creamy Fried chicken over buttery mashed potatoes;C;3;3.0
1;5bb5ddb068558a000125ab50;before;1;1;245;Duck with butter rice, buttered corn, sweet corn & peas;C;3;3.0
1;5bb5ddb068558a000125ab50;before;1;2;294;Duck brown rice plate with bell peppers;C;3;3.0
1;5bb5ddb068558a000125ab50;before;1;3;247;Chicken in soy sauce over creamy pasta;C;3;3.0
1;5bb5ddb068558a000125ab50;before;1;4;337;Chicken and broccoli loaded fries mix;C;3;3.0
1;5bb5ddb068558a000125ab50;before;1;5;307;Creamy Fried chicken over buttery mashed potatoes;C;3;3.0
1;5bb5ddb068558a000125ab50;before;2;1;251;Mediterranean chicken with butter rice, squash, eggplant & tomatoes;C;3;2.8
1;5bb5ddb068558a000125ab50;before;2;2;280;Fried chicken with loaded fries, fried onions & cauliflower;C;3;2.8
1;5bb5ddb068558a000125ab50;before;2;3;279;Duck brown rice plate with mushrooms;C;3;2.8
1;5bb5ddb068558a000125ab50;before;2;4;311;Smoked turkey and asparagus loaded fries mix;C;3;2.8
1;5bb5ddb068558a000125ab50;before;2;5;374;Smoked turkey over loaded fries;D;2;2.8
1;5bb5ddb068558a000125ab50;before;3;1;303;Duck with potatoes and zucchini;C;3;3.0
1;5bb5ddb068558a000125ab50;before;3;2;341;Buttery Turkey with bell peppers & bulgur;C;3;3.0
1;5bb5ddb068558a000125ab50;before;3;3;205;Duck over bulgur;B;4;3.0
1;5bb5ddb068558a000125ab50;before;3;4;237;Duck with gnocchi and mushrooms;B;4;3.0
1;5bb5ddb068558a000125ab50;before;3;5;555;Turkey and buttered corn buttery mashed potatoes mix;E;1;3.0
1;5bb756696322c5000159756c;after;1;1;587;Sausage with fried rice & vegetables in creamy sauce;E;1;1.6
1;5bb756696322c5000159756c;after;1;2;593;Bbq ribs mac and cheese plate with fried eggplant;E;1;1.6
1;5bb756696322c5000159756c;after;1;3;386;Smoky Pork belly with buttered corn & creamy pasta;D;2;1.6
1;5bb756696322c5000159756c;after;1;4;358;Pork belly loaded fries plate with sweet corn;C;3;1.6
1;5bb756696322c5000159756c;after;1;5;490;Pork belly in ranch sauce over cheesy potatoes;E;1;1.6
1;5bb756696322c5000159756c;before;1;1;587;Sausage with fried rice & vegetables in creamy sauce;E;1;1.6
1;5bb756696322c5000159756c;before;1;2;593;Bbq ribs mac and cheese plate with fried eggplant;E;1;1.6
1;5bb756696322c5000159756c;before;1;3;386;Smoky Pork belly with buttered corn & creamy pasta;D;2;1.6
1;5bb756696322c5000159756c;before;1;4;358;Pork belly loaded fries plate with sweet corn;C;3;1.6
1;5bb756696322c5000159756c;before;1;5;490;Pork belly in ranch sauce over cheesy potatoes;E;1;1.6
1;5bb756696322c5000159756c;before;2;1;595;Mediterranean Meatballs with squash & creamy pasta;E;1;1.4
1;5bb756696322c5000159756c;before;2;2;491;Meatballs and loaded fries mix;E;1;1.4
1;5bb756696322c5000159756c;before;2;3;430;Sausage and asparagus fried rice mix;D;2;1.4
1;5bb756696322c5000159756c;before;2;4;522;Sesame Bbq ribs bowl with eggplant;E;1;1.4
1;5bb756696322c5000159756c;before;2;5;450;Veal with butter rice, spinach & fried eggplant;D;2;1.4
1;5bb756696322c5000159756c;before;3;1;533;Steak strips and tomatoes fried rice mix;E;1;1.4
1;5bb756696322c5000159756c;before;3;2;434;Herb Pork belly with creamed spinach & creamy pasta;D;2;1.4
1;5bb756696322c5000159756c;before;3;3;508;Zesty Meatballs bowl with creamed spinach;E;1;1.4
1;5bb756696322c5000159756c;before;3;4;507;Roasted ham in bbq sauce over loaded fries;E;1;1.4
1;5bb756696322c5000159756c;before;3;5;414;Smoky Roasted ham over fried rice;D;2;1.4
1;5c00043a6d931200019bcb9b;after;1;1;371;Turkey with creamy pasta, peas, asparagus & tomatoes;D;2;1.8
1;5c00043a6d931200019bcb9b;after;1;2;589;Creamy smoked turkey bowl with cabbage;E;1;1.8
1;5c00043a6d931200019bcb9b;after;1;3;377;Smoked turkey bowl with cabbage;D;2;1.8
1;5c00043a6d931200019bcb9b;after;1;4;373;Duck with loaded fries and bell peppers;D;2;1.8
1;5c00043a6d931200019bcb9b;after;1;5;445;Fried chicken over butter rice;D;2;1.8
1;5c00043a6d931200019bcb9b;before;1;1;371;Turkey with creamy pasta, peas, asparagus & tomatoes;D;2;1.8
1;5c00043a6d931200019bcb9b;before;1;2;589;Creamy smoked turkey bowl with cabbage;E;1;1.8
1;5c00043a6d931200019bcb9b;before;1;3;377;Smoked turkey bowl with cabbage;D;2;1.8
1;5c00043a6d931200019bcb9b;before;1;4;373;Duck with loaded fries and bell peppers;D;2;1.8
1;5c00043a6d931200019bcb9b;before;1;5;445;Fried chicken over butter rice;D;2;1.8
1;5c00043a6d931200019bcb9b;before;2;1;401;Duck in cream sauce over cheesy potatoes;D;2;1.8
1;5c00043a6d931200019bcb9b;before;2;2;433;Mediterranean Smoked turkey with fried onions & garlic butter noodles;D;2;1.8
1;5c00043a6d931200019bcb9b;before;2;3;480;Creamy Turkey with zucchini & butter rice;D;2;1.8
1;5c00043a6d931200019bcb9b;before;2;4;397;Turkey with loaded fries, leeks & creamed spinach;D;2;1.8
1;5c00043a6d931200019bcb9b;before;2;5;580;Buttery duck bowl with vegetables;E;1;1.8
1;5c00043a6d931200019bcb9b;before;3;1;390;Roasted Duck bowl with fried peppers;D;2;1.6
1;5c00043a6d931200019bcb9b;before;3;2;555;Turkey and buttered corn buttery mashed potatoes mix;E;1;1.6
1;5c00043a6d931200019bcb9b;before;3;3;406;Turkey in bbq sauce over buttery mashed potatoes;D;2;1.6
1;5c00043a6d931200019bcb9b;before;3;4;393;Buttery Fried chicken with fried peppers & mac and cheese;D;2;1.6
1;5c00043a6d931200019bcb9b;before;3;5;546;Tangy Fried chicken with spinach & cheesy potatoes;E;1;1.6
1;5c4afb7234ee9300011cbbfc;after;1;1;382;Pork belly in bbq sauce over cheesy potatoes;D;2;2.0
1;5c4afb7234ee9300011cbbfc;after;1;2;376;Tangy Sausage over creamy pasta;D;2;2.0
1;5c4afb7234ee9300011cbbfc;after;1;3;383;Tangy Meatballs with buttered corn & fried rice;D;2;2.0
