condition_id,user_id,phase,interaction,rank,product_id,product_name,nutri_score
1,563e35190980220011572d9a,after,1,1,470,Shrimp with loaded fries & vegetables,D
1,563e35190980220011572d9a,after,1,2,238,"Shrimp tempura with pasta, celery, bell peppers & leeks",B
1,563e35190980220011572d9a,after,1,3,578,Shrimp tempura over butter rice,E
1,563e35190980220011572d9a,after,1,4,380,Grilled Shrimp tempura bowl with squash,D
1,563e35190980220011572d9a,after,1,5,563,Shrimp tempura with fried rice and squash,E
1,563e35190980220011572d9a,before,1,1,470,Shrimp with loaded fries & vegetables,D
1,563e35190980220011572d9a,before,1,2,238,"Shrimp tempura with pasta, celery, bell peppers & leeks",B
1,563e35190980220011572d9a,before,1,3,578,Shrimp tempura over butter rice,E
1,563e35190980220011572d9a,before,1,4,380,Grilled Shrimp tempura bowl with squash,D
1,563e35190980220011572d9a,before,1,5,563,Shrimp tempura with fried rice and squash,E
1,563e35190980220011572d9a,before,2,1,340,Tangy Shrimp tempura over butter rice,C
1,563e35190980220011572d9a,before,2,2,339,"Shrimp tempura with loaded fries, mushrooms, bell peppers & broccoli",C
1,563e35190980220011572d9a,before,2,3,209,Shrimp udon noodles plate with asparagus,B
1,563e35190980220011572d9a,before,2,4,510,Shrimp and zucchini cheesy potatoes mix,E
1,563e35190980220011572d9a,before,2,5,309,Calamari in tahini sauce over udon noodles,C
1,563e35190980220011572d9a,before,3,1,320,Shrimp tempura with couscous and bell peppers,C
1,563e35190980220011572d9a,before,3,2,262,"Calamari with potatoes, carrots & broccoli",C
1,563e35190980220011572d9a,before,3,3,545,Buttery Calamari over fried rice,E
1,563e35190980220011572d9a,before,3,4,378,Crispy Shrimp over creamy pasta,D
1,563e35190980220011572d9a,before,3,5,177,Calamari over bulgur,B
1,5693f7d3e0c800000b59669f,after,1,1,264,Beef with fried rice and cauliflower,C
1,5693f7d3e0c800000b59669f,after,1,2,458,Cheesy beef bowl ,D
1,5693f7d3e0c800000b59669f,after,1,3,330,Tangy Pork belly over brown rice,C
1,5693f7d3e0c800000b59669f,after,1,4,338,"Steak strips with garlic butter noodles, asparagus, bell peppers & peas",C
1,5693f7d3e0c800000b59669f,after,1,5,350,Bbq ribs in basil sauce over butter rice,C
1,5693f7d3e0c800000b59669f,before,1,1,264,Beef with fried rice and cauliflower,C
1,5693f7d3e0c800000b59669f,before,1,2,458,Cheesy beef bowl ,D
1,5693f7d3e0c800000b59669f,before,1,3,330,Tangy Pork belly over brown rice,C
1,5693f7d3e0c800000b59669f,before,1,4,338,"Steak strips with garlic butter noodles, asparagus, bell peppers & peas",C
1,5693f7d3e0c800000b59669f,before,1,5,350,Bbq ribs in basil sauce over butter rice,C
1,5693f7d3e0c800000b59669f,before,2,1,464,Crispy Beef over butter rice,D
1,5693f7d3e0c800000b59669f,before,2,2,450,"Veal with butter rice, spinach & fried eggplant",D
1,5693f7d3e0c800000b59669f,before,2,3,270,Lamb in pesto over polenta,C
1,5693f7d3e0c800000b59669f,before,2,4,541,Beef and buttered corn butter rice mix,E
1,5693f7d3e0c800000b59669f,before,2,5,343,"Pork belly with wild rice, caramelized onions, peas & broccoli",C
1,5693f7d3e0c800000b59669f,before,3,1,283,"Sausage with cheesy potatoes, carrots, roasted garlic & beetroot",C
1,5693f7d3e0c800000b59669f,before,3,2,424,Smoky Pork belly over creamy pasta,D
1,5693f7d3e0c800000b59669f,before,3,3,507,Roasted ham in bbq sauce over loaded fries,E
1,5693f7d3e0c800000b59669f,before,3,4,387,Roasted Veal bowl with caramelized onions,D
1,5693f7d3e0c800000b59669f,before,3,5,372,"Lamb with butter rice, leeks, sweet corn & eggplant",D
1,58fa36995214e3000193281c,after,1,1,324,"Cheesy trout with quinoa, asparagus & broccoli",C
1,58fa36995214e3000193281c,after,1,2,333,Crispy Tuna with squash & sweet potatoes,C
1,58fa36995214e3000193281c,after,1,3,323,Cod and onions creamy pasta mix,C
1,58fa36995214e3000193281c,after,1,4,556,Hake cheesy potatoes plate with cauliflower,E
1,58fa36995214e3000193281c,after,1,5,175,Tangy Salmon with green beans & barley,B
1,58fa36995214e3000193281c,before,1,1,324,"Cheesy trout with quinoa, asparagus & broccoli",C
1,58fa36995214e3000193281c,before,1,2,333,Crispy Tuna with squash & sweet potatoes,C
1,58fa36995214e3000193281c,before,1,3,323,Cod and onions creamy pasta mix,C
1,58fa36995214e3000193281c,before,1,4,556,Hake cheesy potatoes plate with cauliflower,E
1,58fa36995214e3000193281c,before,1,5,175,Tangy Salmon with green beans & barley,B
1,58fa36995214e3000193281c,before,2,1,553,Cod garlic butter noodles plate with caramelized onions,E
1,58fa36995214e3000193281c,before,2,2,360,"Cheesy mackerel with gnocchi, leeks & peas",C
1,58fa36995214e3000193281c,before,2,3,263,Trout in soy sauce over wild rice,C
