model,mean_MAE,mean_MSE,mean_RMSE
mean,1.1227655604835958,1.7679101563434991,1.3295306930225113
random,1.3943947599531619,3.359370364949258,1.832230618247761
mode,1.271154493559719,3.1402108948087433,1.7715216056326333
