model,k,weights,mean_MAE,mean_MSE,mean_RMSE
content_based,15.0,"(0.0, 0.5, 0.5)",1.059208908299933,1.633101410165234,1.2778039243442934
content_based,20.0,"(0.0, 0.5, 0.5)",1.074452383884685,1.6562094501615103,1.286838056361783
content_based,25.0,"(0.0, 0.5, 0.5)",1.0855540089276716,1.6745185388271095,1.2939374573438502
content_based,30.0,"(0.0, 0.5, 0.5)",1.0945127825532837,1.6914165310243021,1.30044158745552
content_based,36.0,"(0.0, 0.5, 0.5)",1.09560235688852,1.6940618757447226,1.3014609571636133
content_based,1.0,"(0.0, 0.6, 0.4)",1.2171542542254665,2.86376106196125,1.6921676542675042
content_based,2.0,"(0.0, 0.6, 0.4)",1.1077294364557133,2.1094388037079517,1.4522457202847814
content_based,3.0,"(0.0, 0.6, 0.4)",1.0729742295731928,1.8697478259753264,1.3673143524313311
content_based,4.0,"(0.0, 0.6, 0.4)",1.0608386556325224,1.781429792354794,1.334551394133972
content_based,5.0,"(0.0, 0.6, 0.4)",1.0593525367024177,1.7364738491927842,1.3176264275085758
content_based,6.0,"(0.0, 0.6, 0.4)",1.05888017055181,1.7146568500013522,1.3093602963335544
content_based,7.0,"(0.0, 0.6, 0.4)",1.0628054987477848,1.7047177648283447,1.3055524067005577
content_based,8.0,"(0.0, 0.6, 0.4)",1.060736821385025,1.685521079695165,1.298140514543818
content_based,9.0,"(0.0, 0.6, 0.4)",1.0590896379825814,1.664241414257764,1.2899147692232535
content_based,10.0,"(0.0, 0.6, 0.4)",1.057163732986666,1.6537729580936156,1.2858383594918137
content_based,15.0,"(0.0, 0.6, 0.4)",1.0603884357129325,1.637176074342338,1.2794024471936714
content_based,20.0,"(0.0, 0.6, 0.4)",1.07608499814111,1.6610712996378403,1.2887259430631475
content_based,25.0,"(0.0, 0.6, 0.4)",1.0869667965205487,1.6788725081699742,1.2956168953253748
content_based,30.0,"(0.0, 0.6, 0.4)",1.0955633108752814,1.6946463669326275,1.3016818643672239
content_based,36.0,"(0.0, 0.6, 0.4)",1.0966457103071066,1.69728989571224,1.3026996889281341
content_based,1.0,"(0.0, 0.7, 0.3)",1.221684529760455,2.8798487160712987,1.6968895170807905
content_based,2.0,"(0.0, 0.7, 0.3)",1.1216115478533273,2.1637401867360255,1.4708299500819382
content_based,3.0,"(0.0, 0.7, 0.3)",1.0908750480258327,1.9353381483722365,1.3910938422166175
content_based,4.0,"(0.0, 0.7, 0.3)",1.0740292202667636,1.8303735912874135,1.3527756991442188
content_based,5.0,"(0.0, 0.7, 0.3)",1.0696107207860375,1.7763216186633826,1.3326693535009344
content_based,6.0,"(0.0, 0.7, 0.3)",1.0682707222336378,1.7497640620652444,1.3227140771441293
content_based,7.0,"(0.0, 0.7, 0.3)",1.0695116805925735,1.729204918441616,1.3149002346913297
content_based,8.0,"(0.0, 0.7, 0.3)",1.0639723384689255,1.6997671627494657,1.3036334796136804
content_based,9.0,"(0.0, 0.7, 0.3)",1.0619334180002091,1.6754665866867757,1.294261086753129
content_based,10.0,"(0.0, 0.7, 0.3)",1.0601924824680775,1.664329851852381,1.289939573299016
content_based,15.0,"(0.0, 0.7, 0.3)",1.0616205870227144,1.6412555875293022,1.2809952342438118
content_based,20.0,"(0.0, 0.7, 0.3)",1.0771347335305403,1.6643898253960312,1.290011921896281
content_based,25.0,"(0.0, 0.7, 0.3)",1.0879558513334566,1.6819003703639255,1.2967841333405903
content_based,30.0,"(0.0, 0.7, 0.3)",1.0963968032909501,1.6972420963085082,1.3026778053150196
content_based,36.0,"(0.0, 0.7, 0.3)",1.0974783579580176,1.699882637583313,1.3036938011684072
content_based,1.0,"(0.0, 0.8, 0.2)",1.221684529760455,2.8798487160712987,1.6968895170807905
content_based,2.0,"(0.0, 0.8, 0.2)",1.1215515491703782,2.1638943853246806,1.47088192613307
content_based,3.0,"(0.0, 0.8, 0.2)",1.0910834275036476,1.9360661093269098,1.3913553128882952
content_based,4.0,"(0.0, 0.8, 0.2)",1.0744248463368438,1.8316926670542295,1.3532626562622876
content_based,5.0,"(0.0, 0.8, 0.2)",1.0700883154812881,1.7780350329106547,1.3333102617244563
content_based,6.0,"(0.0, 0.8, 0.2)",1.0688943218217783,1.751887933661304,1.3235159425006289
content_based,7.0,"(0.0, 0.8, 0.2)",1.0703726833948426,1.7319146933040046,1.315929823555266
content_based,8.0,"(0.0, 0.8, 0.2)",1.0649136448599594,1.7028503424921548,1.3048150524563416
content_based,9.0,"(0.0, 0.8, 0.2)",1.0629742335682208,1.6788143016821326,1.2955546901944341
content_based,10.0,"(0.0, 0.8, 0.2)",1.0613123569163065,1.6678960210593252,1.2913223057884446
content_based,15.0,"(0.0, 0.8, 0.2)",1.0626353241312285,1.6446294616214618,1.2823110000927547
content_based,20.0,"(0.0, 0.8, 0.2)",1.0779940421003231,1.667118974220961,1.291068555713356
content_based,25.0,"(0.0, 0.8, 0.2)",1.0887585173275902,1.6843810790188303,1.2977396745105039
content_based,30.0,"(0.0, 0.8, 0.2)",1.0970767896652254,1.6993731805341092,1.3034949129057543
content_based,36.0,"(0.0, 0.8, 0.2)",1.0981531358018561,1.7020103185737647,1.304509043311294
content_based,1.0,"(0.0, 0.9, 0.1)",1.221684529760455,2.8798487160712987,1.6968895170807905
content_based,2.0,"(0.0, 0.9, 0.1)",1.1214999147198015,2.1640865854896,1.4709468142391469
content_based,3.0,"(0.0, 0.9, 0.1)",1.0912551555551493,1.9367425042160764,1.3915981867410752
content_based,4.0,"(0.0, 0.9, 0.1)",1.0747521343531932,1.8328649263916497,1.353695254652046
content_based,5.0,"(0.0, 0.9, 0.1)",1.0705013805587584,1.779536611451404,1.3338717310187556
content_based,6.0,"(0.0, 0.9, 0.1)",1.0694167429881554,1.7537293137725687,1.3242107687230107
content_based,7.0,"(0.0, 0.9, 0.1)",1.071085267282736,1.7342342177048593,1.3168104787826473
content_based,8.0,"(0.0, 0.9, 0.1)",1.0657008031095079,1.705473243343797,1.3058193715339041
content_based,9.0,"(0.0, 0.9, 0.1)",1.06384223506042,1.6816517403663909,1.2966500532065417
content_based,10.0,"(0.0, 0.9, 0.1)",1.0622471417322707,1.6709083466525396,1.2924890775636608
content_based,15.0,"(0.0, 0.9, 0.1)",1.0634776567395698,1.647464767099402,1.283415675670865
content_based,20.0,"(0.0, 0.9, 0.1)",1.078703112718864,1.6694023093185115,1.2919519264783
content_based,25.0,"(0.0, 0.9, 0.1)",1.0894218545663814,1.6864504246242553,1.2985362334866155
content_based,30.0,"(0.0, 0.9, 0.1)",1.0976408132683475,1.701153842168733,1.3041772757470682
content_based,36.0,"(0.0, 0.9, 0.1)",1.0987125473480002,1.703787513974773,1.305189609508551
content_based,1.0,"(0.0, 1.0, 0.0)",1.2454397895636227,2.8695819933247337,1.6937318473763205
content_based,2.0,"(0.0, 1.0, 0.0)",1.1746273837199455,2.32903791855606,1.5260286537238728
content_based,3.0,"(0.0, 1.0, 0.0)",1.1247054361776527,2.0412896052868765,1.428662008999614
content_based,4.0,"(0.0, 1.0, 0.0)",1.100155349254565,1.9205908343203333,1.3857897178094423
content_based,5.0,"(0.0, 1.0, 0.0)",1.0948695323931985,1.8682762594063902,1.3667620596793983
content_based,6.0,"(0.0, 1.0, 0.0)",1.086270292226736,1.81738579403912,1.347979775908176
content_based,7.0,"(0.0, 1.0, 0.0)",1.0858273631862772,1.7944274582906332,1.3394051912262679
content_based,8.0,"(0.0, 1.0, 0.0)",1.0808173749334462,1.7650761155334886,1.3284197415012684
content_based,9.0,"(0.0, 1.0, 0.0)",1.0778954711649669,1.7411274280775129,1.319376832537424
content_based,10.0,"(0.0, 1.0, 0.0)",1.0782556321606227,1.7297913638728333,1.31509525353189
content_based,15.0,"(0.0, 1.0, 0.0)",1.0765421585882642,1.6920768491513738,1.3006712111979675
content_based,20.0,"(0.0, 1.0, 0.0)",1.0829826229319348,1.6861131170000756,1.2983939009827674
content_based,25.0,"(0.0, 1.0, 0.0)",1.0909549511833492,1.691439422498916,1.3004447545826179
content_based,30.0,"(0.0, 1.0, 0.0)",1.0980089584120905,1.7020869714187483,1.3045346036843122
content_based,36.0,"(0.0, 1.0, 0.0)",1.0991784026125884,1.7052941005591264,1.3057662741561544
content_based,1.0,"(0.1, 0.0, 0.9)",1.1367868595539,2.597780601386628,1.6114569971770716
content_based,2.0,"(0.1, 0.0, 0.9)",1.0389960688553015,1.8833022108426363,1.3720708703181739
content_based,3.0,"(0.1, 0.0, 0.9)",1.0173925766856162,1.7038156211572257,1.3051043002421245
content_based,4.0,"(0.1, 0.0, 0.9)",1.012094552407926,1.6291831647825412,1.2762711991376885
content_based,5.0,"(0.1, 0.0, 0.9)",1.0167517813079112,1.604080208260422,1.2663534847591813
content_based,6.0,"(0.1, 0.0, 0.9)",1.019378217917947,1.5840276161109268,1.2584227219638089
content_based,7.0,"(0.1, 0.0, 0.9)",1.0199720782876252,1.569173021801419,1.2525540634895498
content_based,8.0,"(0.1, 0.0, 0.9)",1.0210291214552765,1.557938606342703,1.2480533757663896
content_based,9.0,"(0.1, 0.0, 0.9)",1.0211943637779028,1.5483029102107477,1.2441833507392288
content_based,10.0,"(0.1, 0.0, 0.9)",1.0259345032734846,1.552982713010563,1.2460805188828983
content_based,15.0,"(0.1, 0.0, 0.9)",1.044530977945513,1.5792723515323888,1.2565989565090645
content_based,20.0,"(0.1, 0.0, 0.9)",1.0549193607305938,1.5976760687809404,1.2638946045452748
content_based,25.0,"(0.1, 0.0, 0.9)",1.0630891504880167,1.614067682346916,1.2703532081910138
content_based,30.0,"(0.1, 0.0, 0.9)",1.065725614729564,1.619768619368119,1.2725898301123375
content_based,36.0,"(0.1, 0.0, 0.9)",1.0657516387649095,1.6199859320885206,1.2726747963225358
content_based,1.0,"(0.1, 0.1, 0.8)",1.1287405288638481,2.5654002424775646,1.6014677460964157
content_based,2.0,"(0.1, 0.1, 0.8)",1.0369681637818924,1.8735135098555584,1.3685523698995001
content_based,3.0,"(0.1, 0.1, 0.8)",1.0145034598534717,1.700547366121662,1.3039189732668401
content_based,4.0,"(0.1, 0.1, 0.8)",1.0045157059122674,1.6149285275180536,1.2706279614414764
content_based,5.0,"(0.1, 0.1, 0.8)",1.0036076898653064,1.5751751912821703,1.2548445301581945
content_based,6.0,"(0.1, 0.1, 0.8)",1.0066492679661567,1.5542570398963165,1.2465619536367616
content_based,7.0,"(0.1, 0.1, 0.8)",1.011336058480176,1.5471861467107515,1.2437131667780363
content_based,8.0,"(0.1, 0.1, 0.8)",1.0141729996037632,1.5422937938236065,1.2417503786751376
content_based,9.0,"(0.1, 0.1, 0.8)",1.0178695699849274,1.5397165260611296,1.240734313394191
content_based,10.0,"(0.1, 0.1, 0.8)",1.0246763644131751,1.5496213463361381,1.2447132508524172
content_based,15.0,"(0.1, 0.1, 0.8)",1.0415102312165108,1.5684153640018557,1.2522564364145636
content_based,20.0,"(0.1, 0.1, 0.8)",1.057555216389487,1.5998330330965105,1.2647489781811174
content_based,25.0,"(0.1, 0.1, 0.8)",1.0704184212309937,1.627180032699112,1.2755064745619467
content_based,30.0,"(0.1, 0.1, 0.8)",1.0768963960894724,1.6409289717384314,1.2808871319375748
content_based,36.0,"(0.1, 0.1, 0.8)",1.0772013933732691,1.6417483288230286,1.281207829711088
content_based,1.0,"(0.1, 0.2, 0.7)",1.1309265651636138,2.5682078611879646,1.60240073669443
content_based,2.0,"(0.1, 0.2, 0.7)",1.0341722158898727,1.8735187354989253,1.3685996268521505
content_based,3.0,"(0.1, 0.2, 0.7)",1.0072529062900295,1.6892256551241247,1.2994774453585383
content_based,4.0,"(0.1, 0.2, 0.7)",0.9938655837437633,1.586659915495171,1.2593909168133357
content_based,5.0,"(0.1, 0.2, 0.7)",0.9993708682985412,1.5612624618608544,1.2493274876418625
content_based,6.0,"(0.1, 0.2, 0.7)",1.003311584437943,1.5460521961938671,1.243257951990107
content_based,7.0,"(0.1, 0.2, 0.7)",1.0069199856262254,1.5381602988355807,1.2400674181210172
content_based,8.0,"(0.1, 0.2, 0.7)",1.0121398073687744,1.538270513068078,1.240105395503067
content_based,9.0,"(0.1, 0.2, 0.7)",1.0182085878292022,1.5393773099051518,1.240573234236569
content_based,10.0,"(0.1, 0.2, 0.7)",1.0227721779034002,1.5416911390861578,1.2415103039165534
content_based,15.0,"(0.1, 0.2, 0.7)",1.0432260365873647,1.5776948889179558,1.2559388493689203
content_based,20.0,"(0.1, 0.2, 0.7)",1.0609330125502352,1.6118338213809782,1.2694774049529534
content_based,25.0,"(0.1, 0.2, 0.7)",1.074366265316489,1.638636837216336,1.2799874870157655
content_based,30.0,"(0.1, 0.2, 0.7)",1.082722200191293,1.656429708529463,1.286920940417667
content_based,36.0,"(0.1, 0.2, 0.7)",1.083323241248194,1.658005953597383,1.2875362508637047
content_based,1.0,"(0.1, 0.3, 0.6)",1.1171783905927373,2.5288385810439036,1.5900974353096244
content_based,2.0,"(0.1, 0.3, 0.6)",1.0319306213778696,1.8794538061615416,1.3707276182116646
content_based,3.0,"(0.1, 0.3, 0.6)",1.0114554312152513,1.6955725202901797,1.3019540565236105
content_based,4.0,"(0.1, 0.3, 0.6)",1.00260254888768,1.6116242351638572,1.2692640954326613
content_based,5.0,"(0.1, 0.3, 0.6)",1.0085973042460121,1.5886822720574219,1.2602402279459954
content_based,6.0,"(0.1, 0.3, 0.6)",1.009562627243424,1.5609347035177452,1.2492364917764847
content_based,7.0,"(0.1, 0.3, 0.6)",1.0150829610236507,1.5579845530914995,1.248069446418406
content_based,8.0,"(0.1, 0.3, 0.6)",1.018855172755814,1.5564525493079011,1.2474745438752435
content_based,9.0,"(0.1, 0.3, 0.6)",1.0242743483524566,1.5598695677444148,1.2487885980578417
content_based,10.0,"(0.1, 0.3, 0.6)",1.027719179949669,1.5574922588752087,1.2478092665321463
content_based,15.0,"(0.1, 0.3, 0.6)",1.045133452403152,1.5832850744310658,1.25815539317963
content_based,20.0,"(0.1, 0.3, 0.6)",1.0633683888667025,1.6210494209407933,1.2731056609704576
content_based,25.0,"(0.1, 0.3, 0.6)",1.0772251202412189,1.6481473353856704,1.2837146961657564
content_based,30.0,"(0.1, 0.3, 0.6)",1.0862222802162453,1.6668104144286673,1.2909483139469795
content_based,36.0,"(0.1, 0.3, 0.6)",1.0871413925158329,1.6689892615446276,1.291793351218827
content_based,1.0,"(0.1, 0.4, 0.5)",1.102176917737224,2.4794723415015207,1.574547969780897
content_based,2.0,"(0.1, 0.4, 0.5)",1.0456851609778137,1.918107145787878,1.3848608052017317
content_based,3.0,"(0.1, 0.4, 0.5)",1.0214441264614487,1.7280665312014905,1.3143427791786222
content_based,4.0,"(0.1, 0.4, 0.5)",1.010819418111591,1.6380289888622208,1.2795536237399925
content_based,5.0,"(0.1, 0.4, 0.5)",1.0106893236398133,1.5980057088390214,1.26396254508626
content_based,6.0,"(0.1, 0.4, 0.5)",1.0142108104978973,1.577869089851497,1.2559829294001645
content_based,7.0,"(0.1, 0.4, 0.5)",1.02039316124017,1.5756286682512641,1.2551074971617517
content_based,8.0,"(0.1, 0.4, 0.5)",1.0254772355391109,1.5775566430680985,1.2558791429807632
content_based,9.0,"(0.1, 0.4, 0.5)",1.0318582689384317,1.5804666592523222,1.2570241657356906
content_based,10.0,"(0.1, 0.4, 0.5)",1.0343881904619727,1.5836819418442185,1.258286408295488
content_based,15.0,"(0.1, 0.4, 0.5)",1.0490674816468954,1.5992929221961862,1.2645042924370085
content_based,20.0,"(0.1, 0.4, 0.5)",1.0673178090175055,1.6334680354757385,1.277973490221757
content_based,25.0,"(0.1, 0.4, 0.5)",1.0798064993515688,1.6567680404480565,1.2870618437313106
content_based,30.0,"(0.1, 0.4, 0.5)",1.0888063481809582,1.6746301816684923,1.293972110211186
content_based,36.0,"(0.1, 0.4, 0.5)",1.0897848699769832,1.6768423310095932,1.2948284301788349
content_based,1.0,"(0.1, 0.5, 0.4)",1.1299850321678357,2.565392536498283,1.6015604935842134
content_based,2.0,"(0.1, 0.5, 0.4)",1.0641477878455412,1.9815748499293675,1.4074610671032184
content_based,3.0,"(0.1, 0.5, 0.4)",1.0409746780613087,1.7781090404911168,1.3332901185390935
content_based,4.0,"(0.1, 0.5, 0.4)",1.0229113115465993,1.6648890710004856,1.290154538547256
content_based,5.0,"(0.1, 0.5, 0.4)",1.0235249512852556,1.6295069567001317,1.2763561215554482
content_based,6.0,"(0.1, 0.5, 0.4)",1.0274276005982947,1.6209402632209127,1.2729947558960948
content_based,7.0,"(0.1, 0.5, 0.4)",1.0355234460021063,1.6203435297308466,1.2727833182786337
content_based,8.0,"(0.1, 0.5, 0.4)",1.0363060170871115,1.610140739457811,1.2687785905126554
content_based,9.0,"(0.1, 0.5, 0.4)",1.0400515227079796,1.6079784618735342,1.2679411330121648
content_based,10.0,"(0.1, 0.5, 0.4)",1.0429068584286052,1.6104068725098137,1.2688785956150026
content_based,15.0,"(0.1, 0.5, 0.4)",1.0515193978059818,1.6082056965076816,1.2680220291784026
content_based,20.0,"(0.1, 0.5, 0.4)",1.069218406899197,1.6405195203921843,1.2807322037149578
content_based,25.0,"(0.1, 0.5, 0.4)",1.0816801135177083,1.6628643821255231,1.2894234717515238
content_based,30.0,"(0.1, 0.5, 0.4)",1.0907657227596523,1.6805202529698264,1.2962454185332697
content_based,36.0,"(0.1, 0.5, 0.4)",1.0917437107221626,1.682725655330928,1.2970975234404638
content_based,1.0,"(0.1, 0.6, 0.3)",1.1338907940770226,2.577731647442106,1.6054294126092707
content_based,2.0,"(0.1, 0.6, 0.3)",1.0746109522990295,2.009855366931607,1.417546049784891
content_based,3.0,"(0.1, 0.6, 0.3)",1.0496711922655784,1.8006563645520821,1.341717813748032
content_based,4.0,"(0.1, 0.6, 0.3)",1.041142162874443,1.7231931746691103,1.3126143611589691
content_based,5.0,"(0.1, 0.6, 0.3)",1.040462633225739,1.6836662370822144,1.2974207865790228
content_based,6.0,"(0.1, 0.6, 0.3)",1.0488319140887934,1.6819676180447622,1.2967156986910597
content_based,7.0,"(0.1, 0.6, 0.3)",1.0504106551283905,1.6653958118850487,1.290335109468782
content_based,8.0,"(0.1, 0.6, 0.3)",1.048161981556609,1.645464796212612,1.282619100552934
content_based,9.0,"(0.1, 0.6, 0.3)",1.0480812880782016,1.632698632958054,1.2776481478548576
content_based,10.0,"(0.1, 0.6, 0.3)",1.047905550377164,1.6260948526977146,1.275069090578357
content_based,15.0,"(0.1, 0.6, 0.3)",1.0543207681125968,1.617733176764445,1.2717825715758453
content_based,20.0,"(0.1, 0.6, 0.3)",1.071241024121037,1.6473997926662212,1.283415611235889
content_based,25.0,"(0.1, 0.6, 0.3)",1.083589814651314,1.668518433011671,1.2916129312611258
content_based,30.0,"(0.1, 0.6, 0.3)",1.0922686093671328,1.685092580523818,1.2980071283917822
content_based,36.0,"(0.1, 0.6, 0.3)",1.0932426198610319,1.6872949364328496,1.2988570529001953
content_based,1.0,"(0.1, 0.7, 0.2)",1.1660734227056413,2.6886520980237414,1.6395826598300842
